,minute,customer_id,location
0,0,0,dairy
1,0,1,checkout
2,0,2,drinks
3,1,0,dairy
4,1,1,checkout
5,1,2,checkout
6,2,0,fruit
7,2,1,checkout
8,2,2,checkout
9,2,3,spices
10,2,4,checkout
11,2,5,dairy
12,3,0,dairy
13,3,1,checkout
14,3,2,checkout
15,3,3,drinks
16,3,4,checkout
17,3,5,checkout
18,3,6,checkout
19,3,7,dairy
20,3,8,checkout
21,3,9,dairy
22,3,10,drinks
23,3,11,drinks
24,3,12,drinks
25,4,0,drinks
26,4,1,checkout
27,4,2,checkout
28,4,3,dairy
29,4,4,checkout
30,4,5,checkout
31,4,6,checkout
32,4,7,dairy
33,4,8,checkout
34,4,9,dairy
35,4,10,drinks
36,4,11,spices
37,4,12,fruit
38,4,13,checkout
39,4,14,spices
40,5,0,checkout
41,5,1,checkout
42,5,2,checkout
43,5,3,spices
44,5,4,checkout
45,5,5,checkout
46,5,6,checkout
47,5,7,fruit
48,5,8,checkout
49,5,9,dairy
50,5,10,spices
51,5,11,fruit
52,5,12,spices
53,5,13,checkout
54,5,14,checkout
55,5,15,drinks
56,5,16,spices
57,5,17,checkout
58,5,18,spices
59,5,19,dairy
60,5,20,drinks
61,5,21,checkout
62,6,0,checkout
63,6,1,checkout
64,6,2,checkout
65,6,3,fruit
66,6,4,checkout
67,6,5,checkout
68,6,6,checkout
69,6,7,spices
70,6,8,checkout
71,6,9,spices
72,6,10,spices
73,6,11,fruit
74,6,12,drinks
75,6,13,checkout
76,6,14,checkout
77,6,15,dairy
78,6,16,checkout
79,6,17,checkout
80,6,18,spices
81,6,19,fruit
82,6,20,checkout
83,6,21,checkout
84,7,0,checkout
85,7,1,checkout
86,7,2,checkout
87,7,3,checkout
88,7,4,checkout
89,7,5,checkout
90,7,6,checkout
91,7,7,spices
92,7,8,checkout
93,7,9,dairy
94,7,10,fruit
95,7,11,drinks
96,7,12,fruit
97,7,13,checkout
98,7,14,checkout
99,7,15,drinks
100,7,16,checkout
101,7,17,checkout
102,7,18,dairy
103,7,19,fruit
104,7,20,checkout
105,7,21,checkout
106,7,22,drinks
107,7,23,drinks
108,7,24,fruit
109,7,25,checkout
110,8,0,checkout
111,8,1,checkout
112,8,2,checkout
113,8,3,checkout
114,8,4,checkout
115,8,5,checkout
116,8,6,checkout
117,8,7,dairy
118,8,8,checkout
119,8,9,fruit
120,8,10,spices
121,8,11,checkout
122,8,12,fruit
123,8,13,checkout
124,8,14,checkout
125,8,15,fruit
126,8,16,checkout
127,8,17,checkout
128,8,18,fruit
129,8,19,drinks
130,8,20,checkout
131,8,21,checkout
132,8,22,spices
133,8,23,drinks
134,8,24,drinks
135,8,25,checkout
136,8,26,fruit
137,8,27,checkout
138,8,28,checkout
139,8,29,dairy
140,8,30,spices
141,8,31,dairy
142,8,32,dairy
143,8,33,checkout
144,9,0,checkout
145,9,1,checkout
146,9,2,checkout
147,9,3,checkout
148,9,4,checkout
149,9,5,checkout
150,9,6,checkout
151,9,7,spices
152,9,8,checkout
153,9,9,spices
154,9,10,checkout
155,9,11,checkout
156,9,12,checkout
157,9,13,checkout
158,9,14,checkout
159,9,15,spices
160,9,16,checkout
161,9,17,checkout
162,9,18,fruit
163,9,19,dairy
164,9,20,checkout
165,9,21,checkout
166,9,22,fruit
167,9,23,dairy
168,9,24,checkout
169,9,25,checkout
170,9,26,drinks
171,9,27,checkout
172,9,28,checkout
173,9,29,drinks
174,9,30,dairy
175,9,31,dairy
176,9,32,dairy
177,9,33,checkout
178,10,0,checkout
179,10,1,checkout
180,10,2,checkout
181,10,3,checkout
182,10,4,checkout
183,10,5,checkout
184,10,6,checkout
185,10,7,fruit
186,10,8,checkout
187,10,9,dairy
188,10,10,checkout
189,10,11,checkout
190,10,12,checkout
191,10,13,checkout
192,10,14,checkout
193,10,15,drinks
194,10,16,checkout
195,10,17,checkout
196,10,18,drinks
197,10,19,fruit
198,10,20,checkout
199,10,21,checkout
200,10,22,checkout
201,10,23,checkout
202,10,24,checkout
203,10,25,checkout
204,10,26,dairy
205,10,27,checkout
206,10,28,checkout
207,10,29,drinks
208,10,30,drinks
209,10,31,fruit
210,10,32,fruit
211,10,33,checkout
212,10,34,drinks
213,10,35,checkout
214,10,36,checkout
215,11,0,checkout
216,11,1,checkout
217,11,2,checkout
218,11,3,checkout
219,11,4,checkout
220,11,5,checkout
221,11,6,checkout
222,11,7,drinks
223,11,8,checkout
224,11,9,spices
225,11,10,checkout
226,11,11,checkout
227,11,12,checkout
228,11,13,checkout
229,11,14,checkout
230,11,15,checkout
231,11,16,checkout
232,11,17,checkout
233,11,18,drinks
234,11,19,checkout
235,11,20,checkout
236,11,21,checkout
237,11,22,checkout
238,11,23,checkout
239,11,24,checkout
240,11,25,checkout
241,11,26,spices
242,11,27,checkout
243,11,28,checkout
244,11,29,dairy
245,11,30,checkout
246,11,31,checkout
247,11,32,spices
248,11,33,checkout
249,11,34,dairy
250,11,35,checkout
251,11,36,checkout
252,11,37,dairy
253,11,38,checkout
254,11,39,checkout
255,11,40,drinks
256,11,41,checkout
257,12,0,checkout
258,12,1,checkout
259,12,2,checkout
260,12,3,checkout
261,12,4,checkout
262,12,5,checkout
263,12,6,checkout
264,12,7,drinks
265,12,8,checkout
266,12,9,dairy
267,12,10,checkout
268,12,11,checkout
269,12,12,checkout
270,12,13,checkout
271,12,14,checkout
272,12,15,checkout
273,12,16,checkout
274,12,17,checkout
275,12,18,drinks
276,12,19,checkout
277,12,20,checkout
278,12,21,checkout
279,12,22,checkout
280,12,23,checkout
281,12,24,checkout
282,12,25,checkout
283,12,26,spices
284,12,27,checkout
285,12,28,checkout
286,12,29,drinks
287,12,30,checkout
288,12,31,checkout
289,12,32,fruit
290,12,33,checkout
291,12,34,checkout
292,12,35,checkout
293,12,36,checkout
294,12,37,checkout
295,12,38,checkout
296,12,39,checkout
297,12,40,checkout
298,12,41,checkout
299,12,42,drinks
300,12,43,spices
301,12,44,spices
302,12,45,spices
303,12,46,checkout
304,12,47,checkout
305,12,48,spices
306,12,49,checkout
307,13,0,checkout
308,13,1,checkout
309,13,2,checkout
310,13,3,checkout
311,13,4,checkout
312,13,5,checkout
313,13,6,checkout
314,13,7,spices
315,13,8,checkout
316,13,9,fruit
317,13,10,checkout
318,13,11,checkout
319,13,12,checkout
320,13,13,checkout
321,13,14,checkout
322,13,15,checkout
323,13,16,checkout
324,13,17,checkout
325,13,18,dairy
326,13,19,checkout
327,13,20,checkout
328,13,21,checkout
329,13,22,checkout
330,13,23,checkout
331,13,24,checkout
332,13,25,checkout
333,13,26,spices
334,13,27,checkout
335,13,28,checkout
336,13,29,checkout
337,13,30,checkout
338,13,31,checkout
339,13,32,dairy
340,13,33,checkout
341,13,34,checkout
342,13,35,checkout
343,13,36,checkout
344,13,37,checkout
345,13,38,checkout
346,13,39,checkout
347,13,40,checkout
348,13,41,checkout
349,13,42,checkout
350,13,43,spices
351,13,44,checkout
352,13,45,fruit
353,13,46,checkout
354,13,47,checkout
355,13,48,spices
356,13,49,checkout
357,13,50,checkout
358,13,51,fruit
359,13,52,fruit
360,13,53,spices
361,14,0,checkout
362,14,1,checkout
363,14,2,checkout
364,14,3,checkout
365,14,4,checkout
366,14,5,checkout
367,14,6,checkout
368,14,7,dairy
369,14,8,checkout
370,14,9,dairy
371,14,10,checkout
372,14,11,checkout
373,14,12,checkout
374,14,13,checkout
375,14,14,checkout
376,14,15,checkout
377,14,16,checkout
378,14,17,checkout
379,14,18,checkout
380,14,19,checkout
381,14,20,checkout
382,14,21,checkout
